,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,total_donated_during_dv,gender,dateOfBirth,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Missing,province_Namur,province_Walloon Brabant,province_West Flanders,region_Flanders,region_Missing,region_Wallonia,language_FR,language_NL,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
5374,112390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1969-11-17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7.0,147.82999999999998,0.0,0.0,7.0,147.82999999999998,0.0,0.0,0,49
5375,112391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1963-01-01,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,20.0,539.52,1.0,24.79,19.0,514.73,0.0,0.0,0,56
5376,112392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1948-04-14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.0,147.23000000000002,1.0,33.81,4.0,113.42,0.0,0.0,0,71
5377,112395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1974-12-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,83.39,0.0,0.0,3.0,83.39,0.0,0.0,0,44
5378,112397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1939-04-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7.0,192.97,1.0,30.0,6.0,162.97,0.0,0.0,0,80
5379,112398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1984-10-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,109.18,0.0,0.0,3.0,109.18,0.0,0.0,0,34
5380,112400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1982-11-22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7.0,208.48999999999998,0.0,0.0,7.0,208.48999999999998,0.0,0.0,0,36
5381,112401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1934-10-21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,13.0,546.78,0.0,0.0,13.0,546.78,40.0,1.0,0,84
5382,112402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1966-05-08,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7.0,446.37,0.0,0.0,7.0,446.37,0.0,0.0,0,53
5383,112405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1969-07-23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.0,87.0,0.0,0.0,6.0,87.0,0.0,0.0,0,49
5384,112407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1982-07-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.0,418.36,1.0,30.0,14.0,388.36,0.0,0.0,0,36
5385,112408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1988-02-06,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.0,77.18,1.0,6.2,4.0,70.98,0.0,0.0,0,31
5386,112411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1993-07-08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33.0,1803.1100000000001,10.0,534.79,23.0,1268.32,0.0,0.0,0,25
5387,112415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1985-01-19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7.0,205.62,0.0,0.0,7.0,205.62,0.0,0.0,0,34
5388,112416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1976-02-07,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12.0,393.75,0.0,0.0,12.0,393.75,0.0,0.0,0,43
5389,112417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1966-12-27,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6.0,113.78999999999999,0.0,0.0,6.0,113.78999999999999,0.0,0.0,0,52
5390,112419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1943-01-26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9.0,322.53,0.0,0.0,9.0,322.53,40.0,1.0,0,76
5391,112420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1989-02-23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.0,57.44,0.0,0.0,6.0,57.44,0.0,0.0,0,30
5392,112422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1983-08-30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.0,26.900000000000002,0.0,0.0,8.0,26.900000000000002,0.0,0.0,0,35
5393,112426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1992-03-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.0,2604.72,1.0,2478.94,3.0,125.78,0.0,0.0,0,27
5394,112430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1983-02-27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6.0,171.39,0.0,0.0,6.0,171.39,0.0,0.0,0,36
5395,112435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1974-07-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,77.18,0.0,0.0,2.0,77.18,0.0,0.0,0,44
5396,112437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1984-08-28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5.0,129.37,0.0,0.0,5.0,129.37,0.0,0.0,0,34
5397,112438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1990-07-24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,33.0,0.0,0.0,1.0,33.0,0.0,0.0,0,28
5398,112440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,1.0,1988-12-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.0,276.738,0.0,0.0,8.0,276.738,0.0,0.0,1,30
5399,112441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1934-10-31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,84
5400,112444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1967-04-25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6.0,240.0,0.0,0.0,6.0,240.0,50.0,1.0,0,52
5401,112445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1987-06-10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,0,32
5402,112446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1975-02-08,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,22.0,1292.76,0.0,0.0,22.0,1292.76,0.0,0.0,0,44
5403,112448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1929-06-02,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9.0,292.5,1.0,30.0,8.0,262.5,0.0,0.0,0,90
5404,112449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1985-12-04,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6.0,154.54,2.0,54.79,4.0,99.75,0.0,0.0,0,33
5405,112453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1945-11-18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0,73
